1,Wallie,21736.36,12.93,19.06.2016,Female,true,F1C27D
2,Melosa,39677.03,13.59,15.04.2017,Male,true,F1C27D
3,Jourdan,22646.21,12.58,08.10.2014,Male,false,FFDBAC
4,Damita,52487.07,13.13,14.02.2017,Female,true,FFDBAC
5,Murielle,50971.26,19.12,24.09.2017,Female,false,F1C27D
6,Verena,49669.11,19.4,31.07.2017,Female,true,C68642
7,Farr,58420.89,15.19,07.10.2015,Male,true,8D5524
8,Omar,50222.76,17.95,06.05.2014,Female,false,F1C27D
9,Phil,43109.18,14.33,15.04.2014,Male,false,F1C27D
10,Philipa,31355.79,19.74,11.06.2014,Male,false,C68642
11,Corbett,36848.34,18.14,12.07.2015,Male,true,FFDBAC
12,Ferdinande,51978.58,17.88,28.02.2016,Male,false,E0AC69
13,Valery,33551.63,14.04,23.11.2014,Female,true,F1C27D
14,Lorie,56685.74,13.79,31.03.2015,Male,true,E0AC69
15,Darwin,46095.09,13.18,16.06.2017,Female,false,C68642
16,Anabel,40796.82,13.18,31.03.2016,Female,false,FFDBAC
17,Daisy,45342.63,18.28,18.09.2014,Male,true,E0AC69
18,Jerrome,56716.71,16.35,30.04.2017,Male,false,8D5524
19,Jeffy,59674.92,18.12,05.07.2017,Female,true,C68642
20,Blancha,43459.99,16.78,27.12.2014,Male,true,FFDBAC
21,Bunnie,51140.7,14.8,09.06.2014,Male,false,F1C27D
22,Joly,52273.66,15.43,23.02.2017,Male,true,E0AC69
23,Alexi,24160.92,12.39,09.12.2017,Male,true,FFDBAC
24,Retha,57815.42,16.72,10.05.2015,Female,true,8D5524
25,Ursola,48575.49,12.81,09.06.2017,Female,false,E0AC69
26,Matthieu,41719.33,16.91,18.10.2017,Male,true,F1C27D
27,Gage,26240.86,13.5,07.03.2017,Male,false,F1C27D
28,Walsh,27558.29,15.24,10.05.2014,Male,true,C68642
29,Aurora,56304.35,14.16,21.09.2016,Male,true,E0AC69
30,Anatole,28766.37,16.75,23.08.2017,Female,false,F1C27D
31,Beret,44312.25,13.18,25.12.2015,Female,true,E0AC69
